OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,LotConfig,BldgType,LotArea,OverallCond,2ndFlrSF,BedroomAbvGr,Fireplaces,EnclosedPorch,OpenPorchSF,WoodDeckSF,HalfBath,SalePrice
8,1999,2007,1152,1164,2270,2,9,3,671,5,5,11764,7,1106,4,1,0,57,132,1,290000
6,1958,1988,1240,1632,1632,2,6,1,338,1,5,9600,6,0,3,1,0,0,289,0,139000
5,1982,1982,816,816,816,1,5,1,264,2,5,8314,7,0,2,0,0,0,168,0,124500
7,1925,2007,952,952,1548,2,5,2,672,1,5,7264,7,596,3,0,0,0,74,1,205000
7,2003,2003,1560,1560,1560,2,7,2,573,1,5,9196,5,0,3,0,0,150,100,0,201000
4,1951,1951,864,864,864,1,4,2,400,2,5,19138,5,0,2,0,0,0,0,0,141000
9,2006,2007,2121,2121,2121,2,8,3,732,1,5,14450,5,0,3,1,0,98,124,1,415298
7,1977,1977,1160,1156,2022,2,8,2,505,1,5,10005,5,866,4,1,0,117,288,1,192000
7,1989,1989,807,1175,1982,2,7,2,575,1,5,11287,6,807,3,1,0,84,0,1,228500
6,2006,2006,1262,1262,1262,2,5,2,572,1,5,7200,5,0,2,0,0,120,0,0,185000
7,2007,2008,1314,1314,1314,2,6,2,626,1,3,5063,5,0,2,1,0,62,172,0,207500
8,2008,2009,1468,1468,1468,2,6,3,898,1,5,9612,5,0,3,1,0,150,210,0,244600
6,1992,1992,1575,1575,1575,2,5,2,529,1,4,8012,5,0,2,0,52,0,0,0,179200
7,2006,2007,625,625,1250,2,5,2,528,1,4,4251,5,625,2,0,0,54,0,1,164700
6,1962,1981,912,1085,1734,1,7,2,440,1,5,9786,7,649,3,1,0,0,0,1,159000
4,1971,1971,858,858,858,1,5,0,0,2,5,8125,4,0,3,0,0,0,0,0,88000
5,1967,1967,882,900,900,1,5,1,280,1,5,9819,5,0,3,0,0,0,0,0,122000
6,1915,2003,698,698,1396,1,7,1,384,1,5,8730,7,698,3,0,0,0,0,0,153575
8,2006,2006,1079,1079,1919,2,8,2,685,1,5,15611,5,840,3,1,0,51,0,1,233230
5,1912,2000,780,936,1716,2,9,0,0,1,1,5687,6,780,6,0,0,184,0,0,135900
5,1949,2008,768,1148,1716,1,8,1,281,1,5,11409,4,568,3,1,0,0,0,1,131000
7,1977,1994,795,1468,2263,2,9,2,539,2,5,16659,7,795,3,1,0,250,0,1,235000
6,1953,1953,1416,1644,1644,1,7,2,418,1,5,9600,5,0,3,2,0,0,110,0,167000
6,1984,1984,1003,1003,1003,1,6,2,588,5,5,7937,6,0,3,0,0,0,120,0,142500
5,1950,1950,910,910,1558,1,6,1,282,1,5,13710,5,648,4,0,0,0,289,1,152000
7,1997,1998,975,975,1950,2,7,2,576,1,5,7399,5,975,3,1,0,10,0,1,239000
6,1968,1968,702,1041,1743,1,7,2,539,1,5,11700,6,702,3,1,0,0,224,2,175000
6,1950,2004,1092,1152,1152,1,6,1,300,1,5,14000,8,0,3,1,0,36,0,0,158500
5,1953,1953,1165,1336,1336,1,5,1,375,2,1,15750,5,0,2,2,0,0,0,0,157000
8,1998,1999,1028,1210,2452,2,9,2,683,1,5,16226,5,1242,4,1,0,50,208,1,267000
7,2001,2002,1541,1541,1541,2,6,3,843,2,5,13704,5,0,3,1,0,81,468,0,205000
5,1972,1972,894,894,894,1,5,2,552,2,5,9800,7,0,3,0,0,0,256,0,149900
7,1880,2002,1470,1675,3493,3,10,3,870,1,5,18386,9,1818,3,1,0,0,302,0,295000
8,2004,2005,2000,2000,2000,2,8,3,888,1,5,10386,5,0,3,0,0,0,168,0,305900
7,1990,1991,700,1122,2243,2,8,3,746,1,5,13474,5,1121,4,1,224,44,127,1,225000
6,1920,1950,319,1035,1406,1,6,0,0,1,5,7920,7,371,3,0,0,144,0,0,89500
4,1940,1950,861,861,861,1,4,2,539,1,5,12342,5,0,1,0,0,0,158,0,82500
9,2003,2004,1896,1944,1944,2,8,3,708,1,5,12378,5,0,3,3,0,175,208,0,360000
6,1993,1994,697,697,1501,2,6,2,420,1,5,7685,5,804,3,1,0,63,190,1,165600
6,1948,2002,972,972,972,1,5,1,240,1,5,8000,6,0,2,1,0,0,0,0,132000
5,1939,1950,793,793,1118,1,5,2,410,1,1,7800,7,325,3,1,0,0,0,0,119900
7,1965,1965,2136,2036,2036,2,8,2,513,1,5,215245,5,0,3,2,0,0,0,0,375000
7,1925,1990,728,832,1641,1,6,2,546,1,5,9600,7,809,3,1,234,0,0,1,178000
7,2004,2005,716,716,1432,2,6,2,432,1,5,7795,5,716,3,1,0,51,100,1,188500
7,1980,1980,845,1153,2353,2,10,2,484,2,5,13005,7,1200,4,1,0,195,288,1,260000
8,2006,2006,1088,1088,1959,2,8,3,1025,1,5,9000,5,871,3,1,0,46,208,1,270000
7,1993,1993,1347,1372,2646,2,9,3,656,1,5,9900,5,1274,4,1,144,60,340,1,260000
7,1980,1980,1372,1472,1472,2,6,2,588,1,5,14115,5,0,3,2,0,48,233,0,187500
9,2006,2006,1249,1249,2596,3,9,3,840,2,5,16259,5,1347,4,0,0,154,240,1,342643
8,2004,2004,1136,1136,2468,2,10,3,872,1,5,12099,5,1332,4,1,0,154,184,1,354000
7,1986,1987,1502,1553,2730,2,8,2,576,1,5,10380,5,1177,4,1,0,96,201,1,301000
3,1955,2005,1162,1163,1163,1,6,1,220,1,5,5820,8,0,3,0,0,98,142,0,126175
7,1967,2007,710,1898,2978,2,11,2,564,2,5,11275,7,1080,5,1,0,0,240,1,242000
5,1941,1950,720,803,803,1,5,2,360,1,5,5000,6,0,2,0,244,0,0,0,87000
8,1993,1993,1719,1719,1719,1,6,2,473,5,4,10846,5,0,1,2,0,30,122,1,324000
6,1960,1960,1383,1383,1383,1,7,1,292,1,5,11600,5,0,3,0,0,45,0,1,145250
6,1916,1994,844,1445,2134,2,10,2,441,1,5,11888,6,689,5,0,268,60,0,0,214500
5,1920,1950,596,596,1192,1,6,1,189,2,5,6402,5,596,3,0,137,0,0,0,78000
5,1964,1964,1728,1728,1728,2,10,1,352,1,2,10624,4,0,6,0,0,0,155,0,119000
5,1958,1992,1056,1056,1056,1,6,1,308,1,5,8176,6,0,3,0,0,0,0,0,139000
8,2003,2004,3206,1629,1629,2,7,3,880,1,5,10655,5,0,3,1,0,0,0,0,284000
7,2004,2004,1358,1358,1358,2,6,2,484,4,4,8198,5,0,2,1,0,30,192,0,207000
6,1998,1998,943,943,1638,2,7,2,472,1,5,9042,5,695,3,2,0,38,100,1,192000
5,1965,1965,1499,1619,1786,2,7,2,529,2,1,164660,6,167,3,2,0,0,670,0,228950
9,2005,2006,1922,1922,1922,2,8,3,676,2,5,14157,5,0,3,1,0,51,178,0,377426
7,2002,2003,1536,1536,1536,2,7,2,532,1,5,9135,5,0,3,0,0,74,192,0,214000
7,1984,1998,1208,1621,1621,2,8,2,440,2,5,14145,7,0,3,0,0,45,108,0,202500
6,1958,1998,1215,1215,1215,1,6,1,297,1,5,12400,7,0,3,0,0,0,0,0,155000
8,2002,2002,967,993,1908,2,9,2,431,1,5,14191,5,915,4,0,0,0,135,1,202900
4,1950,1950,721,841,841,1,4,1,294,1,5,8400,4,0,2,0,24,0,250,0,82000
3,1949,1950,0,1040,1040,2,6,2,400,1,2,8544,4,0,2,0,0,0,0,0,87500
9,2005,2005,1684,1684,1684,2,6,2,564,1,4,8849,5,0,2,1,0,72,495,0,266000
5,1976,1976,536,536,1112,1,4,1,336,1,4,2592,3,576,3,0,0,0,182,1,85000
6,1939,1950,972,972,1577,1,6,1,312,1,5,6435,5,605,3,1,0,0,0,0,140200
6,1960,1998,958,958,958,1,5,1,301,5,5,12772,8,0,2,0,0,0,0,0,151500
6,1960,1960,1478,1478,1478,2,6,2,498,1,5,17600,5,0,3,2,0,40,0,0,157500
7,2003,2004,764,764,1626,2,6,2,474,1,3,2448,5,862,2,0,0,27,0,1,154000
9,2005,2006,1848,1848,2728,2,10,3,706,1,5,20431,5,880,4,2,0,0,0,1,437154
9,2007,2007,1869,1869,1869,2,6,2,617,1,4,7820,5,0,2,1,0,54,210,0,318061
7,1986,1986,1453,1453,1453,1,6,2,445,1,5,5271,5,0,2,1,0,80,0,1,190000
5,1941,1950,616,616,1111,1,5,1,200,1,5,9084,6,495,3,0,0,0,48,0,95000
6,1928,2003,624,720,720,1,5,2,484,1,5,8520,8,0,2,0,0,0,106,0,105900
6,1940,2000,940,1192,1595,1,6,1,240,1,5,8400,5,403,2,2,108,0,0,0,140000
6,1995,1995,1200,1200,1200,2,6,2,521,1,5,11249,5,0,3,0,0,26,0,0,177500
6,1992,1992,1158,1167,1167,2,6,2,400,1,5,9248,6,0,3,0,0,26,120,0,173000
5,1976,1976,1142,1142,1142,1,6,2,528,1,4,4224,5,0,3,1,0,90,536,1,134000
5,1958,1958,1062,1352,1352,1,6,1,288,1,5,6930,4,0,3,0,294,0,168,0,130000
8,1998,1998,1086,1086,1924,2,7,2,592,5,5,12011,5,838,3,1,0,75,208,1,280000
6,1978,1978,888,912,912,1,5,2,470,5,5,7540,6,0,2,1,0,0,0,0,156000
5,1940,1982,883,988,1505,1,8,1,240,1,5,9144,5,517,3,0,0,0,0,0,145000
7,2003,2003,0,495,1922,3,7,2,672,2,5,7301,5,1427,4,1,177,0,0,0,198500
6,1972,2007,483,483,987,1,5,1,264,1,3,1680,8,504,2,0,0,0,250,1,118000
6,1976,1976,796,790,1574,2,6,2,566,3,5,18800,5,784,3,1,0,111,306,1,190000
5,1920,1997,672,672,1344,1,6,1,468,1,5,10690,7,672,3,0,218,128,0,0,147000
6,1963,1963,1394,1394,1394,1,6,2,514,1,5,9500,5,0,3,2,0,76,0,1,159000
6,1962,1962,1099,1431,1431,1,6,1,296,2,5,9150,5,0,3,1,0,110,64,0,165000
5,1954,1954,1268,1268,1268,1,7,1,244,1,5,7800,6,0,2,1,0,98,0,0,132000
5,1959,2006,1063,1287,1287,1,7,2,576,2,5,9830,7,0,3,1,0,17,364,0,162000
6,2000,2000,953,953,1664,2,7,2,460,1,5,8121,5,711,3,1,0,40,100,1,172400
4,1959,1959,0,1120,1588,2,7,2,680,1,5,17120,4,468,4,1,0,59,0,0,134432
6,1984,1984,744,752,752,1,4,1,264,1,4,7175,5,0,2,0,0,0,353,0,125000
5,1953,1953,608,1319,1319,1,5,1,270,1,5,10634,6,0,3,0,0,0,66,0,123000
7,2003,2004,847,847,1928,2,8,2,434,1,5,8200,5,1081,4,1,0,48,100,1,219500
1,1922,1950,683,904,904,0,4,0,0,1,5,10020,1,0,1,0,0,0,0,1,61000
5,1996,1996,870,914,914,1,5,2,576,5,5,8846,5,0,2,0,0,0,0,0,148000
8,2004,2005,1580,1580,2466,3,8,2,610,2,5,11143,5,886,4,1,0,214,159,0,340000
9,2010,2010,1856,1856,1856,1,8,3,834,2,5,11394,2,0,1,1,0,0,113,1,394432
6,2000,2000,982,1007,1800,2,7,2,463,1,5,8123,5,793,3,1,0,63,100,1,179000
5,1924,1950,1026,1026,1691,2,6,1,308,1,5,5000,6,665,3,1,242,0,0,0,127000
7,2006,2006,1293,1301,1301,2,5,2,572,1,5,7200,5,0,2,1,0,121,216,0,187750
7,2006,2006,939,939,1797,2,8,2,639,1,5,9245,5,858,3,0,0,53,144,1,213500
6,1928,1950,784,784,784,1,5,2,360,2,5,9000,3,0,2,0,91,0,0,0,76000
6,1992,1992,1580,1079,1953,2,9,2,501,2,5,53107,5,874,3,2,0,231,216,1,240000
8,2004,2005,1256,1269,1269,2,6,2,430,1,4,3182,5,0,2,1,0,20,146,0,192000
5,1910,1996,658,658,1184,1,8,0,0,3,5,8410,3,526,5,0,0,151,0,0,81000
6,1976,1976,1041,1125,1125,1,6,1,352,1,5,7200,6,0,3,1,0,0,296,0,125000
7,1999,2000,1468,1479,1479,2,6,2,577,5,5,9382,5,0,3,0,0,25,120,0,191000
10,2007,2008,1682,1742,2332,2,9,3,846,1,5,12474,5,590,3,1,0,134,196,1,426000
5,1900,1950,861,961,1367,1,7,1,384,1,5,8405,8,406,4,0,112,130,0,0,119000
6,2001,2002,804,804,1961,2,7,2,560,5,5,12209,5,1157,3,1,0,192,125,1,215000
5,1959,1959,0,882,882,1,5,1,294,1,5,8339,7,0,3,0,0,0,0,0,106500
4,1941,1950,788,788,788,1,4,0,0,2,5,7446,5,0,2,2,0,0,0,0,100000
5,1940,1950,735,735,1034,1,5,1,240,1,5,10134,6,299,2,0,0,39,0,0,109000
5,1956,1956,1144,1144,1144,1,6,1,596,1,5,9571,6,0,3,0,0,0,44,0,129000
5,1972,1972,894,894,894,1,6,2,600,1,5,7200,5,0,2,0,0,0,215,0,123000
5,1962,1962,864,876,1812,2,8,1,264,1,5,7590,5,936,4,1,0,168,0,0,169500
5,1920,1950,961,1077,1077,1,6,1,338,2,5,8967,2,0,2,0,0,0,0,0,67000
7,2006,2007,1092,1112,1550,2,7,2,438,1,5,8125,5,438,2,0,0,168,0,0,241000
8,1996,1996,1260,1288,1288,1,4,2,500,1,4,14963,5,0,1,2,0,30,120,1,245500
7,2005,2005,1310,1310,1310,2,6,2,400,1,5,8767,5,0,3,1,0,0,0,0,164990
5,1940,1997,672,672,672,1,4,1,240,1,5,10200,8,0,2,0,0,0,168,0,108000
8,1998,1998,1141,1165,2263,2,10,2,420,2,5,12090,5,1098,4,1,0,123,144,1,258000
6,1995,1996,806,806,1572,2,7,2,373,1,5,10364,5,766,3,1,0,40,0,1,168000
4,1976,1993,1281,1620,1620,2,8,2,490,2,5,9991,4,0,3,1,0,78,120,0,150000
6,1936,1950,1064,1166,1639,1,6,1,240,1,5,10480,5,0,3,0,0,0,0,0,115000
6,1915,1976,840,840,1680,2,8,1,308,1,5,15576,7,840,4,0,160,0,0,0,177000
7,2006,2006,1063,1071,2172,2,9,3,947,2,5,14154,5,1101,3,1,0,62,192,1,280000
8,2007,2008,1034,1050,2078,2,8,3,836,1,5,10800,5,1028,3,1,0,102,0,1,339750
5,1958,1958,1276,1276,1276,1,5,1,350,1,5,9571,3,0,3,0,0,0,0,0,60000
5,1955,1955,1056,1056,1056,1,5,2,572,1,1,34650,5,0,3,0,0,0,264,0,145000
7,2009,2009,1470,1478,1478,2,7,2,484,1,5,4403,5,0,2,1,0,144,0,1,222000
5,1927,1950,1008,1028,1028,1,5,2,360,1,5,8960,6,0,2,1,130,0,0,0,115000
7,1993,1993,1080,1080,2097,2,9,3,678,5,5,11228,5,1017,3,1,0,187,196,1,228000
7,2007,2007,1340,1340,1340,2,6,2,396,1,5,8899,5,0,3,0,0,30,100,0,181134
6,1978,1978,672,672,1400,1,6,2,440,1,5,7844,7,728,3,1,0,0,0,1,149500
6,1918,1950,1370,1370,2624,2,10,3,864,1,5,22420,6,1254,4,1,0,0,0,1,239000
5,1940,1950,756,756,1134,1,7,1,240,1,5,8160,6,378,3,0,0,0,0,1,126000
5,1968,1968,1056,1056,1056,1,6,1,304,1,5,8450,6,0,3,1,184,85,0,0,142000
7,1997,1998,1344,1344,1344,2,8,4,784,1,2,7060,5,0,2,0,0,0,0,0,206300
6,1977,2000,1602,1602,1602,2,8,2,529,3,5,16635,7,0,3,1,0,0,240,0,215000
5,1954,1954,988,988,988,1,4,2,520,1,5,21750,5,0,2,0,0,0,0,0,113000
8,1998,1998,1470,1470,2630,2,8,3,696,1,5,9200,5,1160,4,1,0,66,0,1,315000
6,1956,1956,1196,1196,1196,1,6,1,297,1,5,9000,5,0,2,1,0,44,0,0,139000
7,1946,1992,651,707,1389,1,6,1,240,1,5,3378,8,682,3,2,126,0,0,1,135000
7,1989,1989,1518,1644,1644,2,5,2,569,1,5,12800,5,0,2,1,0,0,80,0,275000
4,1957,1957,907,907,907,1,5,1,352,1,5,8593,6,0,3,0,0,0,0,0,109008
7,2007,2007,1208,1208,1208,2,6,2,628,1,5,6762,5,0,2,0,0,54,105,0,195400
6,1988,1988,1392,1412,1412,2,6,2,576,2,5,11457,5,0,3,1,169,0,0,0,175000
6,1971,1971,483,483,987,1,4,1,264,1,3,1680,5,504,2,0,0,0,0,1,85400
6,1920,1998,901,1088,1198,1,7,0,0,1,5,5586,7,110,4,0,0,98,0,0,79900
5,1971,1971,765,765,1365,1,6,2,440,1,4,1920,5,600,2,0,0,36,240,1,122500
6,1997,1998,926,926,1604,2,7,2,470,2,5,10839,5,678,3,1,0,36,0,1,181000
4,1972,1972,630,630,630,1,3,0,0,1,3,1890,7,0,1,0,0,0,88,0,81000
7,1996,1996,799,827,1661,2,6,2,550,5,5,10667,6,834,3,1,0,61,158,1,212000
6,1920,1950,648,734,1118,1,6,2,440,1,5,4400,8,384,2,0,0,0,0,0,116000
6,1926,2004,884,904,904,1,4,1,180,1,5,6000,7,0,2,0,105,0,0,0,119000
5,1913,2002,440,694,694,1,4,1,352,1,5,4280,6,0,2,1,34,0,0,0,90350
6,1920,2000,684,684,1196,1,7,2,528,2,5,12354,8,512,3,0,0,46,0,0,110000
10,2008,2008,3094,2402,2402,2,10,3,672,1,5,15431,5,0,2,2,0,72,0,0,555000
4,1955,1955,1440,1440,1440,2,8,0,0,1,2,12108,4,0,4,0,0,0,0,0,118000
5,1930,1992,1078,1128,1573,2,8,2,360,1,5,6240,7,445,3,1,0,0,0,0,162900
7,2006,2007,1258,1258,1258,2,6,3,648,1,4,3922,5,0,2,1,0,16,144,0,172500
7,1994,1995,915,933,1908,2,8,2,493,1,5,8750,5,975,4,1,0,133,144,1,210000
6,1956,1956,1436,1689,1689,1,7,2,480,2,5,9855,5,0,3,1,0,0,0,0,127500
6,1966,2002,1517,1888,1888,2,6,2,578,2,5,16492,6,0,2,1,0,0,0,1,190000
7,1998,1999,930,956,1886,2,10,2,431,2,5,11214,5,930,4,1,0,0,89,1,199900
6,1937,1950,780,780,1376,2,7,1,198,1,5,8600,6,596,3,1,0,0,0,0,119500
3,1948,2002,649,679,1183,1,6,1,308,1,5,6000,7,504,2,0,0,176,0,1,120000
6,1930,2005,813,813,813,1,5,1,270,1,5,5684,8,0,2,0,0,113,0,0,110000
7,1975,1975,1533,1533,1533,2,5,2,576,1,5,70761,5,0,2,2,0,54,200,0,280000
6,1996,1997,872,888,1756,2,7,2,422,2,5,9303,5,868,3,0,0,122,144,1,204000
8,2008,2008,768,786,1590,2,6,2,676,1,5,9000,5,804,3,0,0,30,0,1,210000
5,1976,1976,1728,1728,1728,2,8,2,560,1,2,9297,5,0,4,0,0,0,0,0,188000
7,1973,1973,1242,1242,1242,1,6,2,528,1,5,9600,6,0,3,1,0,0,0,1,175500
5,1916,1950,624,624,1344,1,7,3,513,1,5,4571,5,720,4,0,96,0,0,0,98000
4,1954,1994,1364,1663,1663,1,6,2,529,5,5,53227,6,0,2,2,0,137,224,0,256000
8,1925,1996,588,833,1666,1,7,1,228,1,5,5100,7,833,3,1,0,63,192,0,161000
5,1950,1950,709,979,1203,1,5,1,352,2,5,7015,4,224,3,1,248,0,0,0,110000
8,2009,2009,832,832,1935,2,8,2,552,1,5,8004,5,1103,3,0,0,150,0,1,263435
7,1936,2007,560,575,1135,1,6,2,576,1,5,7200,9,560,3,0,0,0,256,0,155000
5,1965,1965,864,864,864,1,5,1,360,1,5,8281,5,0,3,1,236,0,0,0,62383
6,1934,1995,715,849,1660,1,6,1,240,1,5,11988,7,811,3,1,0,0,0,1,188700
5,1978,1978,1040,1040,1040,2,5,0,0,1,5,8430,5,0,3,0,0,0,0,0,124000
7,2004,2004,1375,1414,1414,2,6,2,398,1,4,3072,5,0,2,1,0,20,144,0,178740
7,1970,1970,1277,1277,1277,1,5,2,526,1,5,10628,5,0,2,1,0,0,0,0,167000
5,1942,1995,728,888,1644,1,7,1,312,1,5,9480,7,756,3,2,0,0,168,1,146500
8,2006,2006,1626,1634,1634,2,7,3,866,1,5,11428,5,0,3,1,0,44,0,0,250000
6,1993,1993,832,832,1710,2,7,2,506,2,5,9291,5,878,3,0,0,70,144,1,187000
8,1985,1985,1488,1502,1502,1,4,2,528,2,4,6820,5,0,1,0,0,54,0,1,212000
7,1977,1977,808,1161,1969,2,8,2,534,1,5,11952,6,808,3,1,0,0,0,1,190000
6,2005,2005,547,1072,1072,1,5,2,525,1,4,3675,5,0,2,0,0,28,0,0,148000
8,2006,2007,1976,1976,1976,2,7,3,908,1,5,14977,5,0,2,1,0,63,250,0,440000
8,2000,2000,1494,1652,1652,2,6,2,499,1,4,5330,5,0,2,0,0,48,96,0,251000
5,1963,1963,970,970,970,1,5,2,624,2,5,8480,6,0,2,0,0,24,0,0,132500
6,1997,1998,1478,1493,1493,2,7,2,508,1,5,13125,5,0,3,1,0,39,140,0,208900
9,2006,2006,2153,2069,2643,2,9,3,694,1,5,13693,5,574,3,1,0,84,414,1,380000
8,2007,2008,1705,1718,1718,2,7,3,826,1,5,10637,5,0,3,1,0,44,208,0,297000
4,1937,2000,907,1131,1131,1,7,2,672,1,5,5925,7,0,2,0,0,72,0,0,89471
9,2004,2005,1833,1850,1850,2,8,3,772,3,5,16033,5,0,3,1,0,112,519,0,326000
9,2003,2004,1792,1792,1792,2,6,3,874,1,5,11846,5,0,2,1,0,49,206,0,374000
7,1915,2005,910,916,1826,1,7,1,164,2,5,2500,8,910,4,1,0,0,0,1,155000
6,1998,1998,1216,1216,1216,2,5,2,402,3,3,4500,5,0,2,0,0,125,0,0,164000
5,1962,2001,999,999,999,1,6,1,264,2,5,7758,7,0,3,0,0,132,0,0,132500
5,1950,2007,1113,1113,1113,1,5,1,264,1,5,9600,7,0,3,1,120,80,0,0,147000
5,1965,1965,1073,1073,1073,1,6,2,515,1,5,10289,7,0,3,0,0,0,0,1,156000
5,1971,1971,1484,1484,1484,2,7,2,487,1,5,12243,6,0,3,1,0,0,224,0,175000
5,1900,1970,954,1766,2414,2,10,2,520,2,1,10800,4,648,3,1,0,0,142,0,160000
4,1970,2002,630,630,630,1,3,1,286,1,3,1526,8,0,1,0,0,0,0,0,86000
5,1976,1976,264,616,1304,1,4,1,336,1,4,2665,6,688,3,1,0,24,141,1,115000
6,1941,1950,806,958,1578,1,5,1,240,1,5,9490,7,620,3,2,32,0,0,0,133000
6,2006,2006,728,728,1456,2,8,2,429,2,5,15578,5,728,3,0,0,0,0,1,172785
5,1960,1960,1269,1269,1269,1,6,1,308,1,5,7931,6,0,3,1,0,0,0,1,155000
5,1938,1996,190,886,886,1,4,1,273,1,5,5784,8,0,2,0,80,20,144,0,91300
4,1920,1950,720,720,720,1,4,0,0,1,5,7879,5,0,2,0,115,523,0,0,34900
8,1992,1993,3200,3228,3228,3,10,2,546,1,5,12692,5,0,4,1,291,75,264,0,430000
7,1925,1950,1026,1133,1820,2,8,1,240,1,5,9120,6,687,4,0,0,100,0,0,184000
5,1967,2004,864,899,899,1,5,1,288,1,5,7800,7,0,3,0,0,0,64,0,130000
5,1958,1985,912,912,912,1,5,1,297,1,5,7535,7,0,2,0,0,285,12,0,120000
6,1973,1973,672,672,1218,1,7,1,264,1,3,1890,5,546,3,0,0,28,144,1,113000
7,2005,2005,866,866,1768,2,7,2,603,1,5,9803,5,902,3,0,0,108,0,1,226700
5,1965,1965,1214,1214,1214,1,6,2,461,2,5,9170,7,0,2,0,184,0,0,0,140000
7,1959,1997,1501,1801,1801,2,6,2,484,1,5,15602,8,0,1,2,0,54,0,0,289000
6,1974,1974,855,855,1322,2,6,2,440,1,4,2308,5,467,3,1,0,0,260,1,147000
5,1952,1952,960,960,1960,2,10,2,400,1,2,7596,5,1000,4,0,0,0,0,0,124500
8,1993,1994,777,1065,1911,2,8,2,471,1,5,9554,5,846,3,1,0,81,182,1,215000
6,2009,2009,1218,1218,1218,2,4,2,676,1,5,7862,5,0,2,0,0,102,0,0,208300
7,1928,2005,689,689,1378,2,7,2,360,1,5,9600,9,689,3,1,116,0,0,0,161000
5,1959,1959,1041,1041,1041,1,6,1,270,2,5,9600,6,0,3,0,0,88,224,0,124500
5,1951,2000,1008,1363,1363,1,6,1,288,1,5,14559,7,0,2,2,0,42,324,0,164900
7,2005,2006,1368,1368,1368,2,6,2,474,1,4,6792,5,0,2,1,0,35,132,0,202665
5,1958,1958,864,864,864,1,5,2,624,2,5,9100,5,0,3,0,0,0,0,0,129900
6,1983,1983,1084,1080,1080,1,5,2,484,2,5,9187,5,0,3,0,158,0,120,1,134000
5,1926,1950,768,789,789,1,5,1,200,1,5,10594,5,0,2,0,112,0,0,0,96500
10,2009,2009,2006,2020,2020,2,9,3,900,1,5,12220,5,0,3,1,0,54,156,1,402861
6,1972,1972,689,1378,2119,2,7,2,583,2,5,10448,6,741,3,1,0,104,0,1,158000
7,1996,1997,1264,1277,2344,2,7,3,889,1,5,10208,5,1067,3,1,0,0,220,1,265000
6,1998,1998,794,882,1796,2,7,2,546,5,5,9531,5,914,3,0,0,36,0,1,211000
7,1926,2004,1276,1276,2080,1,9,1,282,1,5,10918,9,804,3,2,0,0,0,1,234000
4,1900,2000,0,694,1294,2,7,0,0,1,1,10800,7,600,3,0,210,114,220,0,106250
6,1957,1957,1244,1244,1244,1,6,1,336,2,5,11988,6,0,3,2,0,40,0,1,150000
6,1947,1950,1004,1004,1664,2,7,2,420,2,5,5000,7,660,3,2,36,24,0,0,159000
10,2007,2008,3138,3138,4676,3,11,3,884,1,5,40094,5,1538,3,1,0,406,208,1,184750
7,1996,1997,1379,1383,2398,2,8,3,834,1,5,11787,5,1015,3,1,0,60,239,1,315750
7,2005,2005,1257,1266,1266,2,6,2,453,1,5,7500,5,0,3,1,0,144,38,0,176000
5,1956,2000,928,928,928,1,4,1,252,1,5,13300,7,0,2,0,156,0,261,0,132000
9,2008,2008,1452,1476,2713,2,11,3,858,1,5,14948,5,1237,3,1,0,66,126,1,446261
4,1920,2002,528,605,605,1,5,0,0,1,5,9098,7,0,2,0,144,0,0,0,86000
6,1957,1975,2035,2515,2515,3,9,2,484,5,5,32668,3,0,4,2,200,0,0,0,200624
6,1988,1989,1461,1509,1509,2,5,2,600,1,5,10200,5,0,3,1,0,0,224,0,175000
6,1920,1999,611,751,1362,2,6,2,502,4,5,6155,8,611,3,0,84,0,0,0,128000
5,1955,2007,0,827,827,1,5,1,392,1,5,7200,7,0,2,1,0,0,0,0,107500
1,1946,1950,0,334,334,1,2,0,0,1,5,5000,3,0,1,0,0,0,0,0,39300
8,2004,2004,707,707,1414,2,6,2,403,1,5,9056,5,707,3,1,0,35,100,1,178000
5,1910,1991,1117,820,1347,1,5,0,0,1,1,7000,7,527,3,0,148,0,85,0,107500
7,1998,1999,880,880,1724,2,8,2,527,5,5,8924,5,844,3,0,0,155,120,1,188000
4,1972,1972,864,864,864,1,5,2,576,3,5,12735,5,0,3,0,0,0,216,0,111250
5,1968,1968,1051,1159,1159,1,7,1,336,1,5,11553,5,0,3,1,0,0,466,1,158000
8,2001,2002,1581,1601,1601,2,6,2,670,1,5,11423,5,0,3,1,0,0,180,0,272000
9,2006,2006,1838,1838,1838,2,8,3,765,1,5,14601,5,0,2,1,0,68,270,0,315000
8,2000,2000,969,997,2285,2,8,3,648,3,5,11000,5,1288,4,1,0,56,0,1,248000
7,1998,1999,1650,1680,1680,2,7,2,583,1,5,10140,5,0,3,1,0,73,78,0,213250
7,1998,1998,723,767,767,1,4,1,367,1,4,4058,5,0,1,0,0,40,120,0,133000
7,2006,2006,654,664,1496,2,7,2,426,1,5,17104,5,832,3,1,0,24,100,1,179665
7,1988,1988,1204,1377,2183,2,9,3,786,2,5,13837,5,806,4,0,0,0,0,1,229000
6,1923,1950,1065,915,1635,1,6,2,440,1,5,8737,7,720,3,1,0,38,0,1,210000
5,1970,1970,768,768,768,1,5,2,624,1,5,7244,7,0,2,0,0,0,104,0,129500
